Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Revenue +,"44,178","49,091","52,739","54,156","54,966","63,401","74,798","79,118","86,375","109,231","142,891","163,264","169,102",Cr,Screener
Interest,"27,703","30,052","31,515","32,419","31,940","36,386","41,531","40,129","38,908","47,103","68,585","82,099","82,812",Cr,Screener
Other Income +,"10,428","12,176","15,323","19,504","17,420","14,512","16,449","18,969","18,518","19,831","22,958","28,507","30,709",Cr,Screener
Depreciation,576,659,699,758,781,777,949,"1,072","1,171","1,325","1,663","2,149",0,Cr,Screener
Profit before tax,"13,963","15,815","12,196","11,279","7,435","3,777","14,048","20,183","30,609","42,421","54,488","62,616","64,889",Cr,Screener
Tax %,30%,29%,20%,13%,9%,11%,44%,20%,24%,25%,25%,25%,,%,Screener
Net Profit +,"9,810","11,175","9,726","9,801","6,777","3,363","7,931","16,193","23,339","31,896","40,888","47,227","49,075",Cr,Screener
EPS in Rs,15.44,17.52,15.21,15.30,10.54,5.22,12.25,23.41,33.59,45.68,58.23,66.31,68.75,₹,Screener
Dividend Payout %,27%,26%,30%,15%,14%,19%,0%,9%,15%,18%,17%,17%,,%,Screener
